#specObjID,spiral,elliptical,petroMag_u,petroMag_g,petroMag_r,z
301870669925214208,1,0,17.36595,16.00957,15.34466,0.04589036
301870944803121152,1,0,18.62981,17.48044,16.84952,0.06499501
301871219681028096,1,0,19.03304,17.47045,16.67635,0.08085039
301872044314748928,1,0,17.47699,16.28332,15.77221,0.03502265
301872868948469760,1,0,20.67317,18.52409,17.39125,0.1601704
301873968460097536,1,0,19.03399,17.48015,16.67993,0.04577184
301875617727539200,1,0,17.5701,16.22839,15.59976,0.06482466
301876167483353088,1,0,19.10194,17.61171,16.82126,0.04730976
301877266994980864,0,1,18.27758,16.46945,15.63519,0.05647835
301877541872887808,1,0,19.24135,18.257,17.57394,0.2027204
301878366506608640,1,0,19.19059,18.21032,17.59667,0.1400012
301880015774050304,1,0,17.38089,15.84305,15.25289,0.04483392
301881939919398912,0,1,20.47342,18.58643,17.36797,0.171811
301884138942654464,1,0,19.89176,18.41884,17.65158,0.1696523
301884413820561408,1,0,20.73285,18.68543,17.7216,0.1420566
301885238454282240,1,0,20.54074,18.35978,17.56249,0.08171165
301887437477537792,1,0,18.03791,16.65654,16.1423,0.0126812
301889361622886400,1,0,18.32105,17.0293,16.53913,0.03902926
301889911378700288,1,0,17.05254,15.06429,14.22952,0.03337267
301891285768235008,1,0,18.76853,17.33131,16.62166,0.08826268
301891560646141952,0,1,17.20385,15.52142,14.68194,0.03252227
301892385279862784,1,0,18.78992,17.68506,16.91489,0.1068543
301893484791490560,0,1,20.87893,18.79116,17.49875,0.1916706
301895134058932224,0,1,20.39183,18.62238,17.33237,0.2207649
301896233570560000,0,1,19.09468,17.19921,16.17795,0.1239753
301896783326373888,0,1,20.53428,18.44203,17.04573,0.2193648
301897333082187776,1,0,18.92849,17.7697,17.14113,0.08773066
301901731128698880,1,0,18.55871,17.67797,17.09852,0.06523123
301902006006605824,0,1,19.5439,18.40903,17.13831,0.1710902
301902830640326656,1,0,19.41138,17.7436,16.8265,0.09283816
301904479907768320,1,0,19.348,18.03395,17.40378,0.1046337
301904754785675264,1,0,18.41771,17.19581,16.64394,0.09174398
301905029663582208,1,0,16.47221,15.26184,14.72249,0.03448851
301909152832186368,1,0,19.23714,17.93417,17.3624,0.06198409
301910802099628032,1,0,19.32484,17.68793,16.7413,0.09769482
301911626733348864,1,0,20.62199,18.60468,17.6599,0.08730347
301911901611255808,0,1,19.62006,18.46621,17.55159,0.2151756
301914100634511360,1,0,18.60099,17.22485,16.64118,0.0324094
301915200146139136,1,0,18.47331,16.90912,16.29728,0.03218562
301916299657766912,1,0,18.40745,17.39098,16.8807,0.06608569
301916574535673856,1,0,19.70154,18.21999,17.52159,0.06621388
303993831508961280,1,0,18.57345,16.89944,16.10568,0.04388978
303994106386868224,0,1,17.18715,15.19088,14.31101,0.04812082
303995755654309888,0,1,19.21902,17.34543,16.55598,0.04153075
303996305410123776,0,1,19.97406,18.06582,17.20753,0.04043934
303999878822914048,0,1,19.75861,17.55657,16.5713,0.09532314
304000153700820992,0,1,17.10992,15.29643,14.4557,0.03341235
304000428578727936,0,1,19.44958,17.6933,16.88223,0.04497541
304002077846169600,1,0,20.07228,18.53612,17.67318,0.1440468
304002352724076544,1,0,18.81638,17.68555,16.88336,0.2040654
304002627601983488,1,0,20.58506,17.881,17.06491,0.04498773
304003727113611264,1,0,19.06604,17.40688,16.5843,0.09554408
304005376381052928,1,0,18.71924,17.01206,16.20753,0.04144965
304005926136866816,1,0,19.23868,17.23564,16.41623,0.04507175
304009774427564032,1,0,17.70329,16.29278,15.63778,0.08592703
304011698572912640,1,0,18.50352,16.50274,15.56197,0.048347
304013897596168192,1,0,19.80485,18.05978,17.07335,0.09566937
304014997107795968,0,1,19.10022,16.79232,15.6869,0.098474
304018570520586240,1,0,18.71893,17.67613,17.38888,0.04874733
304025167590352896,1,0,18.73167,16.94599,16.37215,0.07103451
304025992224073728,0,1,21.00997,18.70196,17.72487,0.09594639
304030115392677888,1,0,17.40358,15.88171,15.11069,0.06567217
304031214904305664,1,0,20.13801,18.53788,17.66688,0.1163033
304032314415933440,0,1,22.32276,18.35458,16.91799,0.2156218
304033139049654272,1,0,19.45195,17.9566,17.10094,0.1530577
304033963683375104,1,0,18.2152,16.93809,16.51287,0.04664793
304034238561282048,0,1,17.09492,15.29839,14.42592,0.04600343
304034513439188992,1,0,20.56945,18.74359,17.80384,0.09506433
304036162706630656,1,0,20.21928,18.33268,17.40084,0.09574398
304036437584537600,1,0,19.46668,17.94416,17.2126,0.07031794
304036987340351488,1,0,20.49039,18.63619,17.68558,0.1852873
304037811974072320,0,1,20.60516,18.50137,17.28578,0.194159
304038086851979264,1,0,19.11213,17.72712,17.03548,0.1079975
304038636607793152,1,0,19.24816,17.58952,16.9184,0.0673152
304039186363607040,0,1,20.57637,18.99572,17.42535,0.2160878
304040010997327872,1,0,18.00762,16.59623,15.91102,0.06864782
304040285875234816,1,0,23.68913,18.20529,17.31967,0.06949116
304041660264769536,1,0,19.75773,18.62378,17.79504,0.1481426
304043034654304256,1,0,18.57474,17.23252,16.5094,0.06908726
304043309532211200,1,0,19.11394,17.80359,16.95012,0.09416925
304043584410118144,1,0,19.72998,17.72262,16.75533,0.09505673
304043859288025088,1,0,20.5306,19.021,17.81053,0.2152438
